task041: unsolved | no family fit
task042: unsolved | no family fit
task043: unsolved | no family fit
task044: unsolved | no family fit
task045: unsolved | no family fit
task046: unsolved | no family fit
task047: unsolved | no family fit
task048: unsolved | no family fit
task049: unsolved | no family fit
task050: unsolved | no family fit
task051: unsolved | no family fit
Error: Filesize 2509042 exceeds 1509949.44.
task052: unsolved | no family fit
task053: solved   | local_neighborhood 10.628pt
task054: unsolved | no family fit
task055: unsolved | no family fit
task056: unsolved | no family fit
task057: unsolved | no family fit
task058: unsolved | no family fit
task059: unsolved | no family fit
task060: unsolved | no family fit
task061: unsolved | no family fit
task062: unsolved | no family fit
task063: unsolved | no family fit
task064: unsolved | no family fit
task065: unsolved | no family fit
task066: unsolved | no family fit
task067: unsolved | no family fit
task068: unsolved | no family fit
task069: unsolved | no family fit
Error: Filesize 43202079 exceeds 1509949.44.
task070: unsolved | no family fit
task071: unsolved | no family fit
task072: unsolved | no family fit
task073: solved   | local_neighborhood 12.32pt
task074: unsolved | no family fit
task075: unsolved | no family fit
task076: unsolved | no family fit
Error: Filesize 84743885 exceeds 1509949.44.
task077: unsolved | no family fit
task078: unsolved | no family fit
task079: unsolved | no family fit
task080: unsolved | no family fit
task081: solved   | local_neighborhood 10.649pt
task082: unsolved | no family fit
task083: unsolved | no family fit
task084: unsolved | no family fit
task085: unsolved | no family fit
task086: unsolved | no family fit
Error: Filesize 2499646 exceeds 1509949.44.
task087: unsolved | no family fit
task088: unsolved | no family fit
task089: unsolved | no family fit
task090: unsolved | no family fit
task091: unsolved | no family fit
task092: unsolved | no family fit
task093: unsolved | no family fit
task094: unsolved | no family fit
task095: solved   | local_neighborhood 12.578pt
task096: unsolved | no family fit
task097: solved   | local_neighborhood 8.361pt
task098: solved   | local_neighborhood 8.736pt
task099: unsolved | no family fit
task100: unsolved | no family fit
task101: unsolved | no family fit
task102: unsolved | no family fit
task103: unsolved | no family fit
task104: unsolved | no family fit
task105: unsolved | no family fit
task106: unsolved | no family fit
task107: unsolved | no family fit
task108: unsolved | no family fit
task109: unsolved | no family fit
task110: unsolved | no family fit
task111: unsolved | no family fit
task112: unsolved | no family fit
task113: unsolved | no family fit
task114: unsolved | no family fit
task115: unsolved | no family fit
task116: unsolved | no family fit
task117: unsolved | no family fit
task118: unsolved | no family fit
task119: unsolved | no family fit
task120: solved   | local_neighborhood 9.63pt
task121: unsolved | no family fit
task122: solved   | local_neighborhood 9.26pt
task123: unsolved | no family fit
task124: unsolved | no family fit
task125: unsolved | no family fit
task126: unsolved | no family fit
task127: solved   | local_neighborhood 11.395pt
task128: unsolved | no family fit
Error: Filesize 2490250 exceeds 1509949.44.
task129: unsolved | no family fit
task130: unsolved | no family fit
task131: unsolved | no family fit
task132: unsolved | no family fit
task133: unsolved | no family fit
task134: unsolved | no family fit
task135: unsolved | no family fit
task136: unsolved | no family fit
task137: unsolved | no family fit
task138: unsolved | no family fit
Error: Filesize 4396596 exceeds 1509949.44.
task139: unsolved | no family fit
Error: Filesize 2490250 exceeds 1509949.44.
task140: unsolved | no family fit
task141: unsolved | no family fit
task142: unsolved | no family fit
task143: unsolved | no family fit
task144: unsolved | no family fit
task145: unsolved | no family fit
task146: unsolved | no family fit
task147: solved   | local_neighborhood 9.408pt
task148: unsolved | no family fit
task149: unsolved | no family fit
Error: Filesize 10528008 exceeds 1509949.44.
task150: unsolved | no family fit
task151: solved   | local_neighborhood 8.744pt
task152: unsolved | no family fit
task153: unsolved | no family fit
task154: unsolved | no family fit
Error: Filesize 10113540 exceeds 1509949.44.
task155: unsolved | no family fit
task156: unsolved | no family fit
task157: unsolved | no family fit
task158: unsolved | no family fit
task159: unsolved | no family fit
Error: Filesize 9411972 exceeds 1509949.44.
task160: unsolved | no family fit
task161: unsolved | no family fit
Error: Filesize 99745121 exceeds 1509949.44.
task162: unsolved | no family fit
task163: unsolved | no family fit
task164: unsolved | no family fit
task165: unsolved | no family fit
task166: unsolved | no family fit
Error: Filesize 2490250 exceeds 1509949.44.
task167: unsolved | no family fit
task168: unsolved | no family fit
task169: unsolved | no family fit
task170: unsolved | no family fit
task171: solved   | local_neighborhood 13.907pt
task172: unsolved | no family fit
task173: unsolved | no family fit
task174: unsolved | no family fit
task175: unsolved | no family fit
task176: unsolved | no family fit
task177: unsolved | no family fit
task178: unsolved | no family fit
Error: Filesize 2509042 exceeds 1509949.44.
task179: unsolved | no family fit
task180: unsolved | no family fit
task181: unsolved | no family fit
task182: unsolved | no family fit
task183: unsolved | no family fit
task184: unsolved | no family fit
task185: unsolved | no family fit
Error: Filesize 2396290 exceeds 1509949.44.
task186: unsolved | no family fit
task187: unsolved | no family fit
task188: unsolved | no family fit
task189: unsolved | no family fit
task190: unsolved | no family fit
task191: unsolved | no family fit
Error: Filesize 4728728 exceeds 1509949.44.
task192: unsolved | no family fit
task193: solved   | local_neighborhood 8.223pt
task194: unsolved | no family fit
task195: unsolved | no family fit
task196: unsolved | no family fit
task197: unsolved | no family fit
task198: unsolved | no family fit
task199: unsolved | no family fit
task200: unsolved | no family fit
task201: unsolved | no family fit
task202: unsolved | no family fit
task203: unsolved | no family fit
task204: unsolved | no family fit
task205: unsolved | no family fit
task206: unsolved | no family fit
task207: unsolved | no family fit
Error: Filesize 121971881 exceeds 1509949.44.
task208: unsolved | no family fit
task209: unsolved | no family fit
task210: unsolved | no family fit
task211: unsolved | no family fit
task212: unsolved | no family fit
task213: unsolved | no family fit
task214: unsolved | no family fit
task215: unsolved | no family fit
task216: unsolved | no family fit
task217: unsolved | no family fit
task218: unsolved | no family fit
task219: unsolved | no family fit
task220: solved   | local_neighborhood 11.673pt
task221: unsolved | no family fit
Error: Filesize 24812381 exceeds 1509949.44.
task222: unsolved | no family fit
task223: unsolved | no family fit
task224: unsolved | no family fit
task225: unsolved | no family fit
task226: unsolved | no family fit
